	TEAM	GP	AST	APG	TO	TOPG	AST/TO	Season	BLK/PF	PF	BLK	BLKPG	OFF	RPG	REB	ORPG	DRPG	DEF	STL	ST/PF	ST/TO	STPG	2PA	PPG	3PATotal	2P%	3PMTotal	PPS	3PMPG	3PAPG	FG%	2PM	3P%	FTAPG	FTATotal	FT%	FTMPG	FTMTotal
46	Syracuse	32	450	14.1	388	12.1	1.16	2015	0.25	530	130	4.06	378	35.5	1137	11.8	23.7	759	259	0.49	0.67	8.09	1020	70.2	776	.476	280	1.25	8.8	24	.504	486	.361	19.9	637	.683	13.6	435
47	George Washington	33	463	14.0	374	11.3	1.24	2015	0.20	541	110	3.33	391	37.9	1250	11.8	26.0	859	198	0.37	0.53	6.00	1274	75.2	622	.480	229	1.31	6.9	19	.504	612	.368	22.9	756	.757	17.3	572
48	Ohio	32	448	14.0	380	11.9	1.18	2015	0.20	590	118	3.69	272	35.5	1137	8.5	27.0	865	138	0.23	0.36	4.31	1119	78.4	699	.524	273	1.38	8.5	22	.548	586	.391	21.5	689	.750	16.2	517
49	Sacramento State	31	434	14.0	367	11.8	1.18	2015	0.21	631	130	4.19	302	35.9	1112	9.7	26.1	810	175	0.28	0.48	5.65	1166	71.3	618	.498	209	1.24	6.7	20	.501	581	.338	20.2	627	.671	13.6	421
50	Wake Forest	31	434	14.0	451	14.5	0.96	2015	0.21	649	138	4.45	377	38.3	1186	12.2	26.1	809	184	0.28	0.41	5.94	1186	74.0	618	.504	195	1.27	6.3	20	.494	598	.316	25.1	779	.660	16.6	514
51	Louisiana Tech	32	447	14.0	397	12.4	1.13	2015	0.24	577	138	4.31	347	38.0	1215	10.8	27.1	868	238	0.41	0.60	7.44	1246	79.4	682	.530	226	1.32	7.1	21	.518	660	.331	25.4	812	.669	17.0	543
52	LIU Brooklyn	31	433	14.0	422	13.6	1.03	2015	0.13	652	87	2.81	386	37.9	1175	12.5	25.5	789	238	0.37	0.56	7.68	1282	76.2	603	.495	179	1.25	5.8	19	.479	634	.297	25.2	780	.714	18.0	557
53	Houston Baptist	33	460	13.9	484	14.7	0.95	2015	0.21	629	134	4.06	338	36.5	1205	10.2	26.3	867	178	0.28	0.37	5.39	1300	76.9	542	.523	196	1.38	5.9	16	.529	680	.362	25.0	826	.715	17.9	591
54	Holy Cross	33	459	13.9	362	11.0	1.27	2015	0.15	555	83	2.52	269	30.1	994	8.2	22.0	725	213	0.38	0.59	6.45	1064	65.3	721	.471	236	1.21	7.2	22	.479	501	.327	19.5	644	.693	13.5	446
55	Mississippi State	31	431	13.9	393	12.7	1.10	2015	0.22	597	133	4.29	325	35.3	1094	10.5	24.8	769	202	0.34	0.51	6.52	1188	74.9	674	.526	225	1.25	7.3	22	.517	625	.334	17.7	549	.725	12.8	398
56	Eastern Illinois	30	417	13.9	364	12.1	1.15	2015	0.12	583	68	2.27	299	33.4	1002	10.0	23.4	703	177	0.30	0.49	5.90	1074	71.5	663	.495	232	1.23	7.7	22	.507	532	.350	19.6	588	.655	12.8	385
57	Green Bay	35	486	13.9	423	12.1	1.15	2015	0.23	701	161	4.60	451	38.9	1360	12.9	26.0	909	344	0.49	0.81	9.83	1591	84.2	703	.491	246	1.29	7.0	20	.501	781	.350	28.1	984	.659	18.5	648
58	Weber State	34	472	13.9	451	13.3	1.05	2015	0.20	598	119	3.50	291	37.5	1274	8.6	28.9	983	169	0.28	0.37	4.97	1063	76.7	768	.564	287	1.42	8.4	23	.563	600	.374	23.8	810	.677	16.1	548
59	Gonzaga	33	458	13.9	372	11.3	1.23	2015	0.17	577	98	2.97	350	39.6	1307	10.6	29.0	957	167	0.29	0.45	5.06	1228	79.7	682	.546	258	1.38	7.8	21	.554	671	.378	20.5	676	.760	15.6	514
60	Kansas State	33	458	13.9	460	13.9	1.00	2015	0.14	659	91	2.76	437	36.5	1203	13.2	23.2	766	249	0.38	0.54	7.55	1293	70.7	583	.487	175	1.24	5.3	18	.476	630	.300	24.2	798	.688	16.6	549
61	Valparaiso	32	444	13.9	414	12.9	1.07	2015	0.22	639	143	4.47	417	42.1	1346	13.0	29.0	929	222	0.35	0.54	6.94	1174	75.8	718	.491	260	1.28	8.1	22	.511	576	.362	21.3	681	.724	15.4	493
62	Lafayette	30	416	13.9	391	13.0	1.06	2015	0.12	588	69	2.30	242	31.9	956	8.1	23.8	714	171	0.29	0.44	5.70	1070	71.4	671	.479	245	1.23	8.2	22	.506	513	.365	18.4	551	.691	12.7	381
63	Massachusetts	32	443	13.8	409	12.8	1.08	2015	0.17	668	113	3.53	307	35.7	1141	9.6	26.1	834	207	0.31	0.51	6.47	1194	73.5	709	.488	234	1.24	7.3	22	.491	583	.330	21.7	694	.699	15.2	485
64	Connecticut	33	455	13.8	369	11.2	1.23	2015	0.28	592	167	5.06	319	36.5	1206	9.7	26.9	887	192	0.32	0.52	5.82	1275	73.5	636	.507	231	1.27	7.0	19	.520	647	.363	16.9	557	.785	13.2	437
65	Colorado	33	454	13.8	442	13.4	1.03	2015	0.27	616	165	5.00	437	42.4	1400	13.2	29.2	963	172	0.28	0.39	5.21	1342	76.0	637	.441	250	1.27	7.6	19	.489	592	.392	23.6	779	.738	17.4	575
66	Tulsa	31	425	13.7	335	10.8	1.27	2015	0.15	548	83	2.68	313	35.0	1086	10.1	24.9	773	211	0.39	0.63	6.81	1137	74.0	656	.510	216	1.28	7.0	21	.504	580	.329	23.1	717	.678	15.7	486
67	Wright State	35	478	13.7	397	11.3	1.20	2015	0.10	770	75	2.14	232	31.3	1094	6.6	24.6	862	193	0.25	0.49	5.51	1229	68.5	687	.488	256	1.25	7.3	20	.514	600	.373	17.7	621	.694	12.3	431
68	Oregon	34	464	13.6	393	11.6	1.18	2015	0.33	607	201	5.91	399	36.1	1229	11.7	24.4	830	259	0.43	0.66	7.62	1327	78.8	670	.527	234	1.34	6.9	20	.526	699	.349	23.9	813	.713	17.1	580
69	Western Kentucky	34	463	13.6	450	13.2	1.03	2015	0.23	610	140	4.12	405	38.6	1312	11.9	26.7	907	151	0.25	0.34	4.44	1326	77.1	644	.522	233	1.33	6.9	19	.529	692	.362	22.6	768	.699	15.8	537
70	Illinois	34	463	13.6	357	10.5	1.30	2015	0.11	585	65	1.91	258	31.6	1076	7.6	24.1	818	199	0.34	0.56	5.85	1229	72.1	764	.475	277	1.23	8.1	22	.502	584	.363	17.9	607	.746	13.3	453
71	Abilene Christian	31	422	13.6	418	13.5	1.01	2015	0.11	681	78	2.52	269	32.0	991	8.7	23.3	722	233	0.34	0.56	7.52	1134	71.3	570	.496	209	1.30	6.7	18	.514	562	.367	21.1	653	.701	14.8	458
72	St. Bonaventure	30	408	13.6	345	11.5	1.18	2015	0.22	587	128	4.27	330	35.7	1070	11.0	24.7	740	177	0.30	0.51	5.90	1108	77.8	656	.486	247	1.32	8.2	22	.516	539	.377	22.2	667	.772	17.2	515
73	New Orleans	30	408	13.6	452	15.1	0.90	2015	0.12	638	76	2.53	422	37.9	1137	14.1	23.8	715	252	0.39	0.56	8.40	1340	75.0	481	.449	162	1.24	5.4	16	.463	601	.337	27.2	816	.688	18.7	561
74	Navy	33	448	13.6	430	13.0	1.04	2015	0.19	648	125	3.79	370	36.0	1187	11.2	24.8	817	188	0.29	0.44	5.70	1299	67.6	469	.511	141	1.26	4.3	14	.495	664	.301	22.7	748	.640	14.5	479
75	Pennsylvania	28	380	13.6	373	13.3	1.02	2015	0.15	514	75	2.68	288	35.8	1001	10.3	25.5	713	146	0.28	0.39	5.21	949	68.3	657	.511	200	1.19	7.1	23	.489	485	.304	18.1	508	.671	12.2	341
76	Seton Hall	33	447	13.5	457	13.8	0.98	2015	0.25	616	154	4.67	425	40.0	1321	12.9	27.2	896	240	0.39	0.53	7.27	1364	74.8	573	.491	202	1.28	6.1	17	.502	670	.353	23.8	787	.666	15.9	524
77	Temple	32	433	13.5	293	9.2	1.48	2015	0.19	516	100	3.13	358	36.8	1176	11.2	25.6	818	171	0.33	0.58	5.34	1218	68.7	739	.444	251	1.12	7.8	23	.469	541	.340	16.5	529	.684	11.3	362
78	Vermont	34	460	13.5	451	13.3	1.02	2015	0.22	658	145	4.26	307	35.3	1199	9.0	26.2	892	187	0.28	0.41	5.50	1273	75.0	604	.535	234	1.36	6.9	18	.550	681	.387	20.3	689	.705	14.3	486
79	Louisville	31	419	13.5	353	11.4	1.19	2015	0.25	597	149	4.81	415	38.2	1183	13.4	24.8	768	222	0.37	0.63	7.16	1311	75.0	536	.519	186	1.26	6.0	17	.519	680	.347	19.0	588	.690	13.1	406
80	Washington State	31	419	13.5	440	14.2	0.95	2015	0.22	614	138	4.45	247	33.8	1049	8.0	25.9	802	156	0.25	0.35	5.03	1234	70.5	530	.503	184	1.24	5.9	17	.509	621	.347	17.8	552	.712	12.7	393
81	Florida Gulf Coast	33	446	13.5	406	12.3	1.10	2015	0.21	637	132	4.00	392	40.2	1327	11.9	28.3	935	218	0.34	0.54	6.61	1498	77.0	493	.516	176	1.28	5.3	15	.521	773	.357	21.8	720	.647	14.1	466
82	Austin Peay	35	473	13.5	490	14.0	0.97	2015	0.17	610	101	2.89	407	36.8	1289	11.6	25.2	882	242	0.40	0.49	6.91	1358	76.0	630	.516	219	1.34	6.3	18	.518	701	.348	25.7	899	.670	17.2	602
83	Boston University	32	432	13.5	436	13.6	0.99	2015	0.20	609	122	3.81	293	36.0	1153	9.2	26.9	860	183	0.30	0.42	5.72	1093	73.2	694	.513	252	1.31	7.9	22	.525	561	.363	20.3	649	.715	14.5	464
84	Duke	33	445	13.5	326	9.9	1.37	2015	0.25	548	138	4.18	404	36.3	1199	12.2	24.1	795	211	0.39	0.65	6.39	1181	81.5	791	.507	306	1.36	9.3	24	.537	599	.387	24.0	792	.722	17.3	572
85	Oregon State	31	418	13.5	355	11.5	1.18	2015	0.17	624	104	3.35	330	34.6	1073	10.6	24.0	743	231	0.37	0.65	7.45	1213	72.1	570	.474	211	1.25	6.8	18	.500	575	.370	21.7	672	.671	14.5	451
86	Fresno State	34	458	13.5	364	10.7	1.26	2015	0.18	741	135	3.97	404	37.6	1278	11.9	25.7	874	280	0.38	0.77	8.24	1453	75.3	620	.474	212	1.24	6.2	18	.485	688	.342	23.3	793	.692	16.1	549
87	Tennessee	34	458	13.5	380	11.2	1.21	2015	0.24	662	156	4.59	428	38.0	1292	12.6	25.4	864	180	0.27	0.47	5.29	1349	75.1	767	.474	251	1.21	7.4	23	.480	639	.327	21.2	721	.725	15.4	523
88	Notre Dame	32	431	13.5	311	9.7	1.39	2015	0.25	496	125	3.91	349	36.1	1154	10.9	25.2	805	179	0.36	0.58	5.59	1207	75.7	637	.525	235	1.31	7.3	20	.535	634	.369	19.1	612	.735	14.1	450
89	Montana	32	431	13.5	394	12.3	1.09	2015	0.12	690	81	2.53	298	34.7	1109	9.3	25.3	811	169	0.24	0.43	5.28	1092	72.4	658	.522	242	1.32	7.6	21	.533	570	.368	20.3	651	.694	14.1	452
90	Boise State	32	430	13.4	372	11.6	1.16	2015	0.10	622	64	2.00	315	34.7	1111	9.8	24.9	796	209	0.34	0.56	6.53	1071	77.5	788	.542	261	1.33	8.2	25	.523	581	.331	23.6	755	.709	16.7	535
91	Georgia Tech	33	443	13.4	367	11.1	1.21	2015	0.23	594	139	4.21	437	39.0	1288	13.2	25.8	851	150	0.25	0.41	4.55	1431	73.2	549	.481	192	1.22	5.8	17	.494	689	.350	19.4	641	.719	14.0	461
92	Gardner-Webb	33	442	13.4	439	13.3	1.01	2015	0.17	667	113	3.42	435	38.1	1258	13.2	24.9	823	265	0.40	0.60	8.03	1232	75.0	809	.483	276	1.21	8.4	25	.494	595	.341	21.2	701	.653	13.9	458
93	Bryant	31	415	13.4	420	13.5	0.99	2015	0.14	592	83	2.68	300	33.8	1048	9.7	24.1	748	176	0.30	0.42	5.68	1183	65.1	615	.471	198	1.12	6.4	20	.475	557	.322	15.5	482	.643	10.0	310
94	Colorado State	34	455	13.4	395	11.6	1.15	2015	0.12	657	77	2.26	441	40.0	1360	13.0	27.0	919	131	0.20	0.33	3.85	1169	79.4	896	.472	326	1.31	9.6	26	.504	552	.364	25.3	861	.718	18.2	618
95	UNC Wilmington	32	428	13.4	365	11.4	1.17	2015	0.18	760	140	4.38	384	37.6	1203	12.0	25.6	819	241	0.32	0.66	7.53	1320	79.2	651	.514	219	1.29	6.8	20	.511	679	.336	23.2	741	.702	16.3	520
96	Western Illinois	27	361	13.4	332	12.3	1.09	2015	0.16	555	89	3.30	233	35.1	948	8.6	26.5	715	163	0.29	0.49	6.04	1031	70.5	490	.471	190	1.25	7.0	18	.507	486	.388	18.6	502	.721	13.4	362
97	Saint Louis	32	426	13.3	436	13.6	0.98	2015	0.10	646	66	2.06	230	32.7	1045	7.2	25.5	815	175	0.27	0.40	5.47	1119	65.8	607	.469	199	1.22	6.2	19	.477	525	.328	20.4	653	.703	14.3	459
98	Central Michigan	32	426	13.3	293	9.2	1.45	2015	0.15	593	87	2.72	319	35.0	1119	10.0	25.0	800	152	0.26	0.52	4.75	1029	75.7	874	.517	309	1.27	9.7	27	.523	532	.354	18.8	600	.718	13.5	431
99	Wagner	32	426	13.3	428	13.4	1.00	2015	0.19	696	131	4.09	448	40.1	1284	14.0	26.1	836	221	0.32	0.52	6.91	1319	70.5	577	.469	190	1.19	5.9	18	.477	619	.329	19.7	629	.712	14.0	448
100	Florida State	32	425	13.3	418	13.1	1.02	2015	0.21	623	132	4.13	367	36.9	1181	11.5	25.4	814	230	0.37	0.55	7.19	1302	78.1	617	.522	214	1.30	6.7	19	.522	680	.347	22.5	721	.689	15.5	497
101	Portland	32	425	13.3	389	12.2	1.09	2015	0.18	697	128	4.00	369	35.3	1130	11.5	23.8	761	208	0.30	0.53	6.50	1225	77.6	787	.473	289	1.23	9.0	25	.503	579	.367	19.8	633	.724	14.3	458
102	Colgate	30	398	13.3	365	12.2	1.09	2015	0.12	584	72	2.40	280	31.7	950	9.3	22.3	670	184	0.32	0.50	6.13	955	69.8	718	.503	267	1.25	8.9	24	.526	480	.372	16.3	488	.680	11.1	332
103	Clemson	31	411	13.3	315	10.2	1.30	2015	0.32	511	162	5.23	320	34.6	1072	10.3	24.3	752	179	0.35	0.57	5.77	1048	69.6	677	.491	238	1.25	7.7	22	.506	515	.352	18.5	574	.723	13.4	415
104	Eastern Washington	32	424	13.3	368	11.5	1.15	2015	0.19	627	122	3.81	299	33.2	1061	9.3	23.8	762	195	0.31	0.53	6.09	1001	81.9	861	.581	329	1.41	10.3	27	.578	582	.382	21.5	688	.682	14.7	469
105	UNC Greensboro	32	424	13.3	385	12.0	1.10	2015	0.12	641	77	2.41	306	34.3	1098	9.6	24.8	792	194	0.30	0.50	6.06	1111	72.9	760	.508	276	1.25	8.6	24	.523	564	.363	17.3	553	.682	11.8	377
106	South Carolina	32	424	13.3	445	13.9	0.95	2015	0.22	646	139	4.34	457	41.0	1311	14.3	26.7	854	221	0.34	0.50	6.91	1347	75.9	574	.459	202	1.26	6.3	18	.479	618	.352	26.9	861	.682	18.3	587
107	Radford	31	410	13.2	416	13.4	0.99	2015	0.24	580	138	4.45	408	37.9	1176	13.2	24.8	768	183	0.32	0.44	5.90	1227	73.1	658	.504	226	1.20	7.3	21	.508	618	.343	17.5	541	.651	11.4	352
108	North Dakota	32	423	13.2	423	13.2	1.00	2015	0.13	673	90	2.81	284	36.7	1173	8.9	27.8	889	251	0.37	0.59	7.84	1326	74.6	536	.496	191	1.28	6.0	17	.507	658	.356	22.9	732	.682	15.6	499
109	Little Rock	32	423	13.2	338	10.6	1.25	2015	0.17	591	103	3.22	293	33.8	1081	9.2	24.6	788	208	0.35	0.62	6.50	1152	71.0	623	.492	243	1.28	7.6	19	.525	567	.390	17.4	557	.732	12.8	408
110	Central Arkansas	28	370	13.2	407	14.5	0.91	2015	0.18	575	104	3.71	331	37.3	1044	11.8	25.5	713	152	0.26	0.37	5.43	1159	75.4	497	.474	185	1.27	6.6	18	.499	549	.372	24.8	694	.659	16.3	457
111	Samford	33	435	13.2	455	13.8	0.96	2015	0.16	691	113	3.42	345	34.6	1143	10.5	24.2	798	226	0.33	0.50	6.85	1309	73.9	548	.510	177	1.31	5.4	17	.503	668	.323	24.2	798	.718	17.4	573
